Month,Total transacting customers (Mn),Gross Transactions (Mn),Shipped Transactions (Mn),Checkout GMV (USD Mn),Shipped GMV (USD Mn),Fulfilled GMV i.e. GMV post Return (USD Mn),Average Order Value per transaction  (USD),ASP per item (USD),Mobiles (USD Mn),Electronic Devices (USD Mn),Large & Small Appliances (USD Mn),% COD,% Prepaid,Orders shipped per day Lacs,% Returns(RTO+RVP),% share of Captive,% share of 3PL,% Metro,% Tier-I,% Others,Revenue from Operations (Take Rate + Delivery Charges ) (USD Mn),Other Revenue (USD Mn),Total Revenue (USD Mn),Supply Chain Costs (Fixed and Variable Included) (USD Mn),Payment Gateway Costs (Only on the Pre-paid orders) (USD Mn),Marketing Expediture (USD Mn),Contribution Margin (as % of Fulfilled GMV),Tech & Admin/Employee Costs and other costs (USD Mn),Cash Burn (USD Mn)
Jan-21,19.64545,45.668071,41.64928075,1315.240445,1199.499286,945.2054371,33.12,19.83059778,423.8571429,180.2214286,86.54571429,0.392,0.608,13.43525186,0.21,0.89,0.11,0.57,0.2,0.23,100.2739681,9.78082148,110.0547896,-115.068488,-17.15531015,-33.69862863,-0.059106343,-21,-76.86763718
Feb-21,16.8475,38.06151945,35.05465942,949.9067783,874.8641429,727.8869669,28.70071429,19.22253287,259.0785714,167.2428571,62.26428571,0.398,0.602,12.51952122,0.168,0.89,0.11,0.57,0.21,0.22,77.21931301,7.532047744,84.75136075,-88.6123264,-12.39008841,-25.95075273,-0.057978517,-21,-63.20180679
Mar-21,17.871,52.43187282,48.00137956,1066.614098,976.4852071,802.6708403,23.39428571,19.48979597,263.6539286,187.082,100.2142857,0.362,0.638,15.48431599,0.178,0.89,0.11,0.57,0.2,0.23,85.15290653,8.30589826,93.45880479,-97.71645012,-13.91235781,-28.61696039,-0.058289103,-21,-67.78696352
Apr-21,17.7445,41.68603143,38.39282908,1060.9095,977.0975,805.1265,29.2675,19.81138483,256.611,188.9795,95.565,0.2512,0.7488,12.79760969,0.176,0.9,0.1,0.54,0.21,0.25,86.81364,8.331309,95.144949,-98.0154,-13.83795,-28.70451,-0.05640469,-21,-66.412911
May-21,18.377,47.69867257,43.45353982,1239.6885,1129.3575,944.1385,29.8885,18.66305587,321.5055,257.2435,88.4235,0.2378,0.7622,14.01727091,0.164,0.9,0.1,0.537,0.217,0.246,104.26573,9.933979,114.199709,-119.04355,-16.16985,-35.30257,-0.059648305,-21,-77.316261
Jun-21,20.8955,49.98628524,45.20777778,1507.0865,1363.0145,1139.4775,34.6725,17.5720223,487.2665,282.2445,103.8105,0.246,0.754,15.06925926,0.164,0.9,0.1,0.53,0.21,0.26,122.8654,11.791115,134.656515,-138.719,-19.65765,-40.62485,-0.056468851,-21,-85.344985
Jul-21,21.85,56.005,43.125,1784.8,1636.45,1374.25,36.685,25.875,629.05,340.4,123.05,0.24,0.76,16.56,0.16,0.9,0.1,0.51,0.2,0.29,148,14,162,-167,-23,-49,-0.056030562,-21,-98
Aug-21,21.85,52.67,47.84,1465.1,1332.85,1052.25,31.97,22.77,474.95,267.95,101.2,0.21,0.79,15.41,0.21,0.9,0.1,0.5,0.2,0.3,104,10,114,-119,-16,-35,-0.053219292,-21,-77
Sep-21,23,47.035,42.895,1144.25,1044.2,844.1,27.945,21.275,354.2,204.7,73.6,0.24,0.76,14.26,0.19,0.9,0.1,0.5,0.19,0.31,91,9,100,-103,-15,-30,-0.0568653,-21,-69
Oct-21,27.6,74.75,67.275,2825.55,2540.35,1951.55,43.47,28.405,1028.1,486.45,186.3,0.22,0.78,21.735,0.23,0.9,0.1,0.49,0.16,0.35,210,20,230,-238,-37,-70,-0.058927519,-21,-136
Nov-21,24.38,50.8415,46.1495,1220.15,1107.45,869.4,27.6,21.71470588,347.3,208.15,87.4,0.24,0.76,16.1,0.22,0.9,0.1,0.49,0.14,0.37,95,9,104,-108,-16,-23,-0.049459397,-21,-64
Dec-21,27.83,48.16730769,43.34615385,1252.35,1127,884.35,29.9,20.87037037,348.45,226.55,81.65,0.23,0.77,13.98263027,0.22,0.9,0.1,0.48,0.14,0.38,109.6594,10.523765,120.183165,-123.809,-18.78525,-26.5305,-0.055341873,-21,-69.941585
Jan-22,22.425,55.5704698,50.63087248,1656,1508.8,1208.65,34.27,23.99109556,553.633,300.311,120.2555,0.21,0.79,16.33253951,0.199,0.9,0.1,0.46,0.14,0.4,132,13,145,-145,-23,-35,-0.047987424,-21,-79
Feb-22,18.975,42.69030411,39.27280859,1193.194,1097.675,900.105,32.1425,22.40153061,396.5775,204.7,81.65,0.23,0.77,14.02600307,0.18,0.9,0.1,0.47,0.18,0.35,97,8.979545,105.979545,-105,-16.007015,-25.98656,-0.045565828,-22,-63.01403
Mar-22,20.47,47.72133628,43.74477876,1348.12775,1235.79,1004.6055,32.4875,22.06767857,410.2211,212.083,130.111,0.23,0.77,15.62313527,0.187,0.9,0.1,0.47,0.18,0.35,108,10,118,-119,-18,-28,-0.05,-22,-69
